
C:\Python27\Lib\site-packages\mbed\ndac6416>arm-none-eabi-nm build\release\ndac6416.elf 
08004ba8 T EvrRtxThreadExit
08004d2e W EvrRtxThreadFlagsWaitCompleted
08004d2c W EvrRtxThreadFlagsWaitTimeout
08004d28 W EvrRtxThreadGetCount
08004d18 W EvrRtxThreadGetId
08004d16 W EvrRtxThreadGetName
08004d1a W EvrRtxThreadGetStackSize
08004d1c W EvrRtxThreadGetStackSpace
08004d1e W EvrRtxThreadJoined
08004d12 W EvrRtxThreadNew
08004d24 W EvrRtxThreadSwitch
08004bb6 T EvrRtxThreadTerminate
08004d22 W EvrRtxThreadUnblocked
08004d34 W EvrRtxTimerCallback
080074b0 W EXTI0_IRQHandler
080074b0 W EXTI1_IRQHandler
080074b0 W EXTI15_10_IRQHandler
080074b0 W EXTI2_IRQHandler
080074b0 W EXTI3_IRQHandler
080074b0 W EXTI4_IRQHandler
080074b0 W EXTI9_5_IRQHandler
0800bcdc T fabs
0800c030 T fclose
0800c1f0 T fflush
0800c214 T fgetc
08002f10 T fill_isr_stack_with_canary
0800bce4 T finite
080074b0 W FLASH_IRQHandler
080074b0 W FMC_IRQHandler
0800c4dc T fopen
080074b0 W FPU_IRQHandler
0800021c t frame_dummy
0800cfc8 T free
08004264 T free_wrapper
20000cc4 B FREQS
200001fc D freqtimer0
20000200 D freqtimer1
20001438 B ft0
20000204 D functimer0
08000000 T g_pfnVectors
08009b54 T get_uart_index
08003e4c T get_us_ticker_data
08009660 T gpio_dir
08009618 T gpio_init
08003a08 T gpio_init_in_ex
08003a2c T gpio_init_out
08003a0c T gpio_init_out_ex
08009658 T gpio_mode
080002ac t gpio_read
08009604 T gpio_set
08009e24 T hal_deepsleep
0800752a W HAL_ETH_ErrorCallback
0800752c T HAL_ETH_IRQHandler
08003978 T HAL_ETH_RxCpltCallback
08007528 W HAL_ETH_TxCpltCallback
080074f8 W HAL_GetTick
080074e0 W HAL_IncTick
080074b4 T HAL_Init
08009740 T HAL_InitTick
080074b2 W HAL_MspInit
08007504 T HAL_NVIC_SetPriorityGrouping
0800759c T HAL_PWR_EnterSLEEPMode
080075c4 T HAL_PWR_EnterSTOPMode
08007604 T HAL_PWREx_EnableOverDrive
080079f8 T HAL_RCC_ClockConfig
08007b30 T HAL_RCC_GetPCLK1Freq
08007b50 T HAL_RCC_GetPCLK2Freq
0800799c T HAL_RCC_GetSysClockFreq
08007674 T HAL_RCC_OscConfig
08007b70 T HAL_RCCEx_PeriphCLKConfig
0800981c T HAL_ResumeTick
080080cc T HAL_RTC_WaitForSynchro
08009e04 T hal_sleep
080082aa T HAL_SPI_Init
080082a8 W HAL_SPI_MspInit
08008836 T HAL_SPI_Receive
08008370 T HAL_SPI_Transmit
080084e0 T HAL_SPI_TransmitReceive
08009808 T HAL_SuspendTick
08008b74 T HAL_TIM_Base_Init
08008a66 W HAL_TIM_Base_MspInit
08008a68 T HAL_TIM_Base_Start
08008a82 T HAL_TIM_GenerateEvent
08008bc0 T HAL_TIM_OC_Start
08008fc2 T HAL_UART_Init
08008bf4 W HAL_UART_MspInit
080074b0 W HardFault_Handler
08012ac6 t HEX
00000014 a I_T_RUN_OFS
080074b0 W I2C1_ER_IRQHandler
080074b0 W I2C1_EV_IRQHandler
080074b0 W I2C2_ER_IRQHandler
080074b0 W I2C2_EV_IRQHandler
080074b0 W I2C3_ER_IRQHandler
080074b0 W I2C3_EV_IRQHandler
080074b0 W I2C4_ER_IRQHandler
080074b0 W I2C4_EV_IRQHandler
200002d0 d impure_data
080074b0 t Infinite_Loop
08009e68 T init_spi
08009aec T init_uart
08003d2c t initialize
20001e90 b interrupt_enable_counter
2000020c d irq_handler
20002660 b irq_handler
20002630 b irq_handler
20000cc8 B IRQBlinkerThread
200014c0 B irqcounter
200014c4 B irqled
080074b0 W JPEG_IRQHandler
0800d8d4 t lflush
080098d4 t LL_GPIO_SetPinPull
0801361c T ll_pin_defines
0800ae84 T log
08007484 t LoopCopyDataInit
080074b0 W LPTIM1_IRQHandler
080074b0 W LTDC_ER_IRQHandler
080074b0 W LTDC_IRQHandler
08001b10 T main
0800cfb8 T malloc
20007828 B malloc_mutex_attr
20005800 B malloc_mutex_id
20007858 B malloc_mutex_obj
080041f4 T malloc_wrapper
0800bcf0 T matherr
080042bc W mbed_die
20001fc0 B mbed_heap_size
20001fc4 B mbed_heap_start
08004a60 W mbed_main
08009830 T mbed_sdk_init
08004a20 T mbed_set_stack_heap
20001fc8 B mbed_stack_isr_size
20001fcc B mbed_stack_isr_start
08004a64 T mbed_start_main
080041b4 T mbed_stats_heap_get
080074b0 W MDIOS_IRQHandler
0800d550 T memchr
0800d5f0 T memcpy
080074b0 W MemManage_Handler
0800d724 T memmove
0800d7ec T memset
0800574e t MessageQueueGet
080053cc t MessageQueuePut
08005416 t MessageQueueRemove
200014e0 B myled
0800bcf4 T nan
080074b0 W NMI_Handler
20000ca4 b object.9934
20002690 B oc_int_part
08013110 T os_cb_sections
080131b4 t os_idle_thread_attr
200020dc b os_idle_thread_cb
20002428 b os_idle_thread_stack
20001fd0 b os_isr_queue
0800708c W OS_Tick_AcknowledgeIRQ
08007060 W OS_Tick_Enable
08007098 W OS_Tick_GetIRQn
08007020 W OS_Tick_Setup
080131d8 t os_timer_mq_attr
20002010 b os_timer_mq_cb
20002044 b os_timer_mq_data
080131f0 t os_timer_thread_attr
20002094 b os_timer_thread_cb
20002128 b os_timer_thread_stack
08004cb8 T osDelay
200078b8 B osEventObs
080050a8 T osKernelGetState
08005054 T osKernelInitialize
08005154 T osKernelLock
080050e8 T osKernelStart
08005188 T osKernelUnlock
080059ac T osMessageQueueGet
080058a0 T osMessageQueueNew
08005900 T osMessageQueuePut
08005dd8 T osMutexAcquire
08005e4c T osMutexDelete
08005d80 T osMutexNew
08005e14 T osMutexRelease
08013148 T osRtxConfig
08004b28 T osRtxErrorNotify
08004b20 T osRtxIdleThread
20000218 D osRtxInfo
080051fc W osRtxMemoryAlloc
08005264 W osRtxMemoryFree
080051bc W osRtxMemoryInit
08005308 T osRtxMemoryPoolAlloc
08005364 T osRtxMemoryPoolFree
080052ae T osRtxMemoryPoolInit
08005654 T osRtxMessageQueuePostProcess
08005d30 T osRtxMutexOwnerRelease
08006354 T osRtxPendSV_Handler
080063dc T osRtxPostProcess
08005ff0 T osRtxSemaphorePostProcess
08006884 T osRtxThreadBlock
08006720 T osRtxThreadDelayInsert
08006668 t osRtxThreadDelayInsert.part.6
08006764 T osRtxThreadDelayRemove
080067cc T osRtxThreadDelayTick
08006918 T osRtxThreadDispatch
08006534 t osRtxThreadFree
080066b6 T osRtxThreadListGet
08006690 T osRtxThreadListPut
080066d8 T osRtxThreadListRemove
080066ca T osRtxThreadListRoot
080066ec T osRtxThreadListSort
080069a0 T osRtxThreadPostProcess
08006710 T osRtxThreadReadyPut
080067b8 T osRtxThreadRegPtr
080068d0 W osRtxThreadStackCheck
080068f8 T osRtxThreadSwitch
08006be4 T osRtxThreadWaitEnter
08006974 T osRtxThreadWaitExit
080062e0 T osRtxTick_Handler
08006fd4 W osRtxTimerThread
08006f80 T osRtxTimerTick
080131b0 V osRtxUserSVC
0800617c T osSemaphoreAcquire
0800628c T osSemaphoreDelete
08006264 T osSemaphoreGetCount
0800611c T osSemaphoreNew
080061f0 T osSemaphoreRelease
08006d88 T osThreadContextNew
08006f14 T osThreadEnumerate
080064b0 T osThreadExit
08006ee8 T osThreadGetCount
08006e24 T osThreadGetId
08006df4 T osThreadGetName
08006e50 T osThreadGetStackSize
08006e80 T osThreadGetStackSpace
08006dec T osThreadNew
08006eb0 T osThreadTerminate
080074b0 W OTG_FS_IRQHandler
080074b0 W OTG_FS_WKUP_IRQHandler
080074b0 W OTG_HS_EP1_IN_IRQHandler
080074b0 W OTG_HS_EP1_OUT_IRQHandler
080074b0 W OTG_HS_IRQHandler
080074b0 W OTG_HS_WKUP_IRQHandler
08002e64 t output_serial_print_label
08013d48 t p05.7367
200014fc B pc
20002628 b PendST
08004c7a T PendSV_Handler
08009910 T pin_function
08009a1c T pin_mode
08003a94 T pinmap_find_peripheral
08003a70 T pinmap_merge
08003aac T pinmap_peripheral
08003a34 T pinmap_pinout
08013240 V PinMap_SPI_MISO
080132c4 V PinMap_SPI_MOSI
0801336c V PinMap_SPI_SCLK
080133fc V PinMap_SPI_SSEL
0801348c V PinMap_UART_RX
0801351c V PinMap_UART_TX
0800af70 T pow
0800ab90 T powf
08004998 T pre_main
20002664 B PreviousVal
08002f2c T print_all_thread_info
08003060 T print_heap_and_isr_stack_info
0800d8ac T printf
080074b0 W PVD_IRQHandler
080074b0 W QUADSPI_IRQHandler
08010c2c t quorem
080074b0 W RCC_IRQHandler
08007474 W Reset_Handler
0800bd00 T rint
080074b0 W RNG_IRQHandler
0800aaf8 T round
080074b0 W RTC_Alarm_IRQHandler
08009a8c T rtc_synchronize
080074b0 W RTC_WKUP_IRQHandler
20002668 b RtcHandle
08004bd4 T rtos_idle_loop
200026d0 B Rx_Buff
20001db8 b rx_ready_sem
080074b0 W SAI1_IRQHandler
080074b0 W SAI2_IRQHandler
0800be10 T scalbn
08003c48 t schedule_interrupt
080074b0 W SDMMC1_IRQHandler
080074b0 W SDMMC2_IRQHandler
08005e84 t SemaphoreTokenDecrement
08005ea8 t SemaphoreTokenIncrement
08009b4c T serial_baud
080092cc T serial_getc
08009bbc T serial_init
080091b0 T serial_irq_handler
20002634 B serial_irq_ids
080091c8 T serial_irq_set
080092f0 T serial_putc
08009ab4 T serial_readable
08009ad4 T serial_writable
080094a0 T Set_GPIO_Clock
0800da58 T setbuf
08007460 T SetSysClock
08007380 T SetSysClock_PLL_HSE
080072f0 t SetSysClock_PLL_HSE.part.0
08007400 T SetSysClock_PLL_HSI
080072f0 t SetSysClock_PLL_HSI.part.1
0800da68 T setvbuf
20007874 B singleton_mutex_attr
20007838 B singleton_mutex_id
2000783c B singleton_mutex_obj
2000268c B SlaveCounter
08003acc T sleep_manager_lock_deep_sleep
08003b30 T sleep_manager_sleep_auto
08003b00 T sleep_manager_unlock_deep_sleep
08004ac4 T software_init_hook
20000208 D span
080074b0 W SPDIF_RX_IRQHandler
080081e4 t SPI_EndRxTransaction
0800825a t SPI_EndRxTxTransaction
0800a060 T spi_format
0800a0c4 T spi_frequency
08009318 T spi_get_clock_freq
08009e98 T spi_init
0800a162 T spi_master_block_write
0800a100 T spi_master_write
0800818e t SPI_WaitFifoStateUntilTimeout
080080fc t SPI_WaitFifoStateUntilTimeout.part.1
08008150 t SPI_WaitFlagStateUntilTimeout
080080fc t SPI_WaitFlagStateUntilTimeout.part.0
200015ec B spi1
080074b0 W SPI1_IRQHandler
200016d4 B spi1_nss
200016f0 B spi2
080074b0 W SPI2_IRQHandler
200017d8 B spi2_nss
200017f4 B spi3
080074b0 W SPI3_IRQHandler
200018dc B spi3_nss
200018f8 B spi4
080074b0 W SPI4_IRQHandler
200019e0 B spi4_nss
200019fc B spi5
080074b0 W SPI5_IRQHandler
20001ae4 B spi5_nss
20001b00 B spi6
080074b0 W SPI6_IRQHandler
20001be8 B spi6_nss
0800dbe8 T sprintf
0800c27c t std
20007c40 B stdio_uart
20002688 B stdio_uart_inited
08009900 t stm_pin_PullConfig
0800dcc8 T strcmp
0800dfc0 T strlen
0800e09c T strncmp
0800e134 T strspn
08004c00 t SVC_Context
08004c42 t SVC_ContextRestore
08004c20 t SVC_ContextSave
08004c36 t SVC_ContextSwitch
08004c78 t SVC_Done
08004c5e t SVC_Exit
08004be4 T SVC_Handler
08004c60 t SVC_User
08004ca8 T svcRtxDelay
08004f24 T svcRtxKernelGetState
08004d88 T svcRtxKernelInitialize
08004fe4 T svcRtxKernelLock
08004f38 T svcRtxKernelStart
0800501c T svcRtxKernelUnlock
08005790 T svcRtxMessageQueueGet
08005430 T svcRtxMessageQueueNew
08005564 T svcRtxMessageQueuePut
08005ad0 T svcRtxMutexAcquire
08005c6c T svcRtxMutexDelete
08005a4c T svcRtxMutexNew
08005b98 T svcRtxMutexRelease
0800601c T svcRtxSemaphoreAcquire
08005f74 T svcRtxSemaphoreDelete
080060f2 T svcRtxSemaphoreGetCount
08005ed8 T svcRtxSemaphoreNew
0800608c T svcRtxSemaphoreRelease
08006604 T svcRtxThreadEnumerate
08006c30 T svcRtxThreadExit
0800647c T svcRtxThreadGetCount
08006468 T svcRtxThreadGetId
08006440 T svcRtxThreadGetName
08006588 T svcRtxThreadGetStackSize
080065b0 T svcRtxThreadGetStackSpace
080069d4 T svcRtxThreadNew
08006ca8 T svcRtxThreadTerminate
08003990 T sys_sem_signal
200002c0 D SystemCoreClock
08009028 T SystemCoreClockUpdate
08007334 T SystemInit
08004c8a T SysTick_Handler
20001c04 B t0
20001c84 B t1
080074b0 W TAMP_STAMP_IRQHandler
00000022 a TCB_SF_OFS
00000038 a TCB_SP_OFS
080068b4 T thread_switch_helper
080070cc T thread_terminate_hook
080064cc t ThreadFlagsCheck
08003dd8 T ticker_irq_handler
08003e42 T ticker_read
08003e24 T ticker_read_us
08008aa8 T TIM_Base_SetConfig
08008ba8 T TIM_CCxChannelCmd
080074b0 W TIM1_BRK_TIM9_IRQHandler
080074b0 W TIM1_CC_IRQHandler
080074b0 W TIM1_TRG_COM_TIM11_IRQHandler
080074b0 W TIM1_UP_TIM10_IRQHandler
080074b0 W TIM2_IRQHandler
080074b0 W TIM3_IRQHandler
080074b0 W TIM4_IRQHandler
080074b0 W TIM5_IRQHandler
080074b0 W TIM6_DAC_IRQHandler
080074b0 W TIM7_IRQHandler
080074b0 W TIM8_BRK_TIM12_IRQHandler
080074b0 W TIM8_CC_IRQHandler
080074b0 W TIM8_TRG_COM_TIM14_IRQHandler
080074b0 W TIM8_UP_TIM13_IRQHandler
20001d08 B timer
080096b4 T timer_irq_handler
08006f48 t TimerInsert
20007c84 B TimMasterHandle
08013950 t TWO52
20003ea0 B Tx_Buff
08008ed4 T UART_AdvFeatureConfig
08008f7e T UART_CheckIdleState
200078c0 B uart_handlers
0800909c t uart_irq
08008c58 T UART_SetConfig
08008bf6 T UART_WaitOnFlagUntilTimeout
08009160 t uart1_irq
08009154 t uart2_irq
08009148 t uart3_irq
0800913c t uart4_irq
080074b0 W UART4_IRQHandler
08009130 t uart5_irq
080074b0 W UART5_IRQHandler
08009124 t uart6_irq
08009118 t uart7_irq
080074b0 W UART7_IRQHandler
0800910c t uart8_irq
080074b0 W UART8_IRQHandler
08003b54 t update_present_time
08012cd0 t us_data
08012cd8 t us_interface
0800a288 T us_ticker_clear_interrupt
0800a274 T us_ticker_disable_interrupt
0800a25c T us_ticker_fire_interrupt
080046c8 W us_ticker_get_info
0800a1ce T us_ticker_init
08003e54 T us_ticker_irq_handler
0800a1d0 T us_ticker_read
0800a214 T us_ticker_set_interrupt
080074b0 W UsageFault_Handler
080074b0 W USART1_IRQHandler
080074b0 W USART2_IRQHandler
080074b0 W USART3_IRQHandler
080074b0 W USART6_IRQHandler
200078bc B uwTick
200002bc D uwTickFreq
20002694 B VCOS
0800487c T wait
08004898 T wait_ms
0800483c T wait_us
0800bc0c t with_errnof
080074b0 W WWDG_IRQHandler
0800bc28 t xflowf
08013b10 t zeroes.8552
08013b30 t zeroes.8567
